layer_name,scenario_year,data_year
cw_eut_secchi,2013,2013
cw_eut_secchi,2014,2014
cw_eut_secchi,2015,2015
cw_eut_secchi,2016,2016
cw_eut_secchi,2017,2017
cw_eut_secchi,2018,2018
cw_eut_secchi,2019,2019
cw_eut_secchi,2020,2020
cw_eut_targets,2010,NA
cw_eut_targets,2011,NA
cw_eut_targets,2012,NA
cw_eut_targets,2013,NA
cw_eut_targets,2014,NA
cw_eut_targets,2015,NA
cw_eut_targets,2016,NA
cw_eut_targets,2017,NA
cw_eut_targets,2018,NA
cw_eut_targets,2019,NA
cw_eut_targets,2020,NA
cw_tra_status,2010,2021
cw_tra_status,2011,2021
cw_tra_status,2012,2021
cw_tra_status,2013,2021
cw_tra_status,2014,2021
cw_tra_status,2015,2021
cw_tra_status,2016,2021
cw_tra_status,2017,2021
cw_tra_status,2018,2021
cw_tra_status,2019,2021
cw_tra_status,2020,2021
cw_tra_trend_scores,2010,2021
cw_tra_trend_scores,2011,2021
cw_tra_trend_scores,2012,2021
cw_tra_trend_scores,2013,2021
cw_tra_trend_scores,2014,2021
cw_tra_trend_scores,2015,2021
cw_tra_trend_scores,2016,2021
cw_tra_trend_scores,2017,2021
cw_tra_trend_scores,2018,2021
cw_tra_trend_scores,2019,2021
cw_tra_trend_scores,2020,2021
fis_bbmsy,2010,2010
fis_bbmsy,2011,2011
fis_bbmsy,2012,2012
fis_bbmsy,2013,2013
fis_bbmsy,2014,2014
fis_bbmsy,2015,2015
fis_bbmsy,2016,2016
fis_bbmsy,2017,2017
fis_bbmsy,2018,2018
fis_bbmsy,2019,2019
fis_bbmsy,2020,2020
fis_catch,2010,2010
fis_catch,2011,2011
fis_catch,2012,2012
fis_catch,2013,2013
fis_catch,2014,2014
fis_catch,2015,2015
fis_catch,2016,2016
fis_catch,2017,2017
fis_catch,2018,2018
fis_catch,2019,2019
fis_catch,2020,2020
fis_ffmsy,2010,2010
fis_ffmsy,2011,2011
fis_ffmsy,2012,2012
fis_ffmsy,2013,2013
fis_ffmsy,2014,2014
fis_ffmsy,2015,2015
fis_ffmsy,2016,2016
fis_ffmsy,2017,2017
fis_ffmsy,2018,2018
fis_ffmsy,2019,2019
fis_ffmsy,2020,2020
hab_bottom_trawl,2010,2016
hab_bottom_trawl,2011,2016
hab_bottom_trawl,2012,2016
hab_bottom_trawl,2013,2016
hab_bottom_trawl,2014,2016
hab_bottom_trawl,2015,2016
hab_bottom_trawl,2016,2016
hab_bottom_trawl,2017,2016
hab_bottom_trawl,2018,2016
hab_bottom_trawl,2019,2016
hab_bottom_trawl,2020,2016
hab_illegal_oil,2010,2019
hab_illegal_oil,2011,2019
hab_illegal_oil,2012,2019
hab_illegal_oil,2013,2019
hab_illegal_oil,2014,2019
hab_illegal_oil,2015,2019
hab_illegal_oil,2016,2019
hab_illegal_oil,2017,2019
hab_illegal_oil,2018,2019
hab_illegal_oil,2019,2019
hab_illegal_oil,2020,2019
hab_oxygen_debt,2010,2009
hab_oxygen_debt,2011,2010
hab_oxygen_debt,2012,2011
hab_oxygen_debt,2013,2012
hab_oxygen_debt,2014,2013
hab_oxygen_debt,2015,2014
hab_oxygen_debt,2016,2015
hab_oxygen_debt,2017,2016
hab_oxygen_debt,2018,2017
hab_oxygen_debt,2019,2018
hab_oxygen_debt,2020,2019
le_eco_bluegrowth_rates,2010,2010
le_eco_bluegrowth_rates,2011,2011
le_eco_bluegrowth_rates,2012,2012
le_eco_bluegrowth_rates,2013,2013
le_eco_bluegrowth_rates,2014,2014
le_eco_bluegrowth_rates,2015,2015
le_eco_bluegrowth_rates,2016,2016
le_eco_bluegrowth_rates,2017,2017
le_eco_bluegrowth_rates,2018,2018
le_eco_bluegrowth_rates,2019,2018
le_eco_bluegrowth_rates,2020,2018
le_eco_yearly_gva,2010,2010
le_eco_yearly_gva,2011,2011
le_eco_yearly_gva,2012,2012
le_eco_yearly_gva,2013,2013
le_eco_yearly_gva,2014,2014
le_eco_yearly_gva,2015,2015
le_eco_yearly_gva,2016,2016
le_eco_yearly_gva,2017,2017
le_eco_yearly_gva,2018,2018
le_eco_yearly_gva,2019,2018
le_eco_yearly_gva,2020,2018
le_liv_national_employ,2010,2010
le_liv_national_employ,2011,2011
le_liv_national_employ,2012,2012
le_liv_national_employ,2013,2013
le_liv_national_employ,2014,2014
le_liv_national_employ,2015,2015
le_liv_national_employ,2016,2016
le_liv_national_employ,2017,2017
le_liv_national_employ,2018,2018
le_liv_national_employ,2019,2019
le_liv_national_employ,2020,2020
le_liv_regional_employ,2010,2010
le_liv_regional_employ,2011,2011
le_liv_regional_employ,2012,2012
le_liv_regional_employ,2013,2013
le_liv_regional_employ,2014,2014
le_liv_regional_employ,2015,2015
le_liv_regional_employ,2016,2016
le_liv_regional_employ,2017,2017
le_liv_regional_employ,2018,2018
le_liv_regional_employ,2019,2019
le_liv_regional_employ,2020,2020
lsp_status,2010,2021
lsp_status,2011,2021
lsp_status,2012,2021
lsp_status,2013,2021
lsp_status,2014,2021
lsp_status,2015,2021
lsp_status,2016,2021
lsp_status,2017,2021
lsp_status,2018,2021
lsp_status,2019,2021
lsp_status,2020,2021
mar_harvest,2010,2010
mar_harvest,2011,2011
mar_harvest,2012,2012
mar_harvest,2013,2013
mar_harvest,2014,2014
mar_harvest,2015,2015
mar_harvest,2016,2016
mar_harvest,2017,2017
mar_harvest,2018,2017
mar_harvest,2019,2017
mar_harvest,2020,2017
np_bbmsy,2010,2010
np_bbmsy,2011,2011
np_bbmsy,2012,2012
np_bbmsy,2013,2013
np_bbmsy,2014,2014
np_bbmsy,2015,2015
np_bbmsy,2016,2016
np_bbmsy,2017,2017
