"","region_id","dimension","goal","score"
"172","BHI-034","resilience","AO",78.5
"173","BHI-035","resilience","AO",80.7
"174","BHI-036","resilience","AO",82
"175","BHI-037","resilience","AO",80.7
"176","BHI-038","resilience","AO",82
"177","BHI-039","resilience","AO",80.7
"178","BHI-040","resilience","AO",82
"179","BHI-041","resilience","AO",80.7
"180","BHI-042","resilience","AO",82
"181","BHI-043","resilience","AO",NA
"182","BHI-301","resilience","AO",80.7
"183","BHI-302","resilience","AO",78
"184","BHI-303","resilience","AO",81.1
"185","BHI-304","resilience","AO",76.9
"186","BHI-305","resilience","AO",NA
"187","BHI-306","resilience","AO",81.6
"188","BHI-307","resilience","AO",79.8
"189","BHI-308","resilience","AO",78.5
"190","BHI-309","resilience","AO",82
"191","BHI-501","resilience","AO",78.8
"192","BHI-502","resilience","AO",78
"193","BHI-503","resilience","AO",79.4
"194","BHI-504","resilience","AO",80
"195","BHI-505","resilience","AO",80.3
"196","BHI-506","resilience","AO",79.9
"197","BHI-507","resilience","AO",78.7
"198","BHI-508","resilience","AO",76.9
"199","BHI-509","resilience","AO",79.7
"200","BHI-510","resilience","AO",80.7
"201","BHI-511","resilience","AO",79.1
"202","BHI-512","resilience","AO",80.4
"203","BHI-513","resilience","AO",80.4
"204","BHI-514","resilience","AO",81.6
"205","BHI-515","resilience","AO",81.3
"206","BHI-516","resilience","AO",81.5
"207","BHI-517","resilience","AO",81.3
"208","BHI-000","score","AO",81.4
"209","BHI-001","score","AO",NA
"210","BHI-002","score","AO",51.6
"211","BHI-003","score","AO",53.8
"212","BHI-005","score","AO",NA
"213","BHI-006","score","AO",72.2
"214","BHI-007","score","AO",NA
"215","BHI-008","score","AO",NA
"216","BHI-009","score","AO",69.5
"217","BHI-010","score","AO",NA
"218","BHI-011","score","AO",NA
"219","BHI-012","score","AO",44.6
"220","BHI-013","score","AO",NA
"221","BHI-014","score","AO",91.7
"222","BHI-015","score","AO",NA
"223","BHI-016","score","AO",NA
"224","BHI-017","score","AO",NA
"225","BHI-018","score","AO",NA
"226","BHI-019","score","AO",NA
"227","BHI-020","score","AO",NA
"228","BHI-021","score","AO",NA
"229","BHI-022","score","AO",NA
"230","BHI-023","score","AO",100
"231","BHI-024","score","AO",83.8
"232","BHI-025","score","AO",NA
"233","BHI-026","score","AO",81.8
"234","BHI-027","score","AO",100
"235","BHI-028","score","AO",67.1
"236","BHI-029","score","AO",89.5
"237","BHI-030","score","AO",NA
"238","BHI-031","score","AO",NA
"239","BHI-032","score","AO",44.6
"240","BHI-033","score","AO",NA
"241","BHI-034","score","AO",NA
"242","BHI-035","score","AO",72.3
"243","BHI-036","score","AO",NA
"244","BHI-037","score","AO",86.3
"245","BHI-038","score","AO",91.7
"246","BHI-039","score","AO",53
"247","BHI-040","score","AO",88.7
"248","BHI-041","score","AO",100
"249","BHI-042","score","AO",100
"250","BHI-043","score","AO",70.1
"251","BHI-301","score","AO",87.2
"252","BHI-302","score","AO",52
"253","BHI-303","score","AO",NA
"254","BHI-304","score","AO",NA
"255","BHI-305","score","AO",NA
"256","BHI-306","score","AO",100
"257","BHI-307","score","AO",88.2
"258","BHI-308","score","AO",67.1
"259","BHI-309","score","AO",84.1
"260","BHI-501","score","AO",51.6
"261","BHI-502","score","AO",53.8
"262","BHI-503","score","AO",72.2
"263","BHI-504","score","AO",NA
"264","BHI-505","score","AO",69.5
"265","BHI-506","score","AO",44.6
"266","BHI-507","score","AO",91.7
"267","BHI-508","score","AO",NA
"268","BHI-509","score","AO",87.4
"269","BHI-510","score","AO",81.8
"270","BHI-511","score","AO",81.3
"271","BHI-512","score","AO",89.5
"272","BHI-513","score","AO",44.6
"273","BHI-514","score","AO",72.3
"274","BHI-515","score","AO",88.8
"275","BHI-516","score","AO",74.6
"276","BHI-517","score","AO",100
"277","BHI-000","status","AO",77.1
"278","BHI-001","status","AO",NA
"279","BHI-002","status","AO",48.3
"280","BHI-003","status","AO",50
"281","BHI-005","status","AO",NA
