"region_id","dimension","goal","score","year"
"BHI-024","resilience","AO",79.8,2018
"BHI-025","resilience","AO",78.5,2018
"BHI-026","resilience","AO",80.7,2018
"BHI-027","resilience","AO",79.8,2018
"BHI-028","resilience","AO",78.5,2018
"BHI-029","resilience","AO",80.7,2018
"BHI-030","resilience","AO",82,2018
"BHI-031","resilience","AO",78.5,2018
"BHI-032","resilience","AO",82,2018
"BHI-033","resilience","AO",NA,2018
"BHI-034","resilience","AO",78.5,2018
"BHI-035","resilience","AO",80.7,2018
"BHI-036","resilience","AO",82,2018
"BHI-037","resilience","AO",80.7,2018
"BHI-038","resilience","AO",82,2018
"BHI-039","resilience","AO",80.7,2018
"BHI-040","resilience","AO",82,2018
"BHI-041","resilience","AO",80.7,2018
"BHI-042","resilience","AO",82,2018
"BHI-043","resilience","AO",NA,2018
"BHI-301","resilience","AO",80.7,2018
"BHI-302","resilience","AO",78,2018
"BHI-303","resilience","AO",81.1,2018
"BHI-304","resilience","AO",76.9,2018
"BHI-305","resilience","AO",NA,2018
"BHI-306","resilience","AO",81.6,2018
"BHI-307","resilience","AO",79.8,2018
"BHI-308","resilience","AO",78.5,2018
"BHI-309","resilience","AO",82,2018
"BHI-501","resilience","AO",78.8,2018
"BHI-502","resilience","AO",78,2018
"BHI-503","resilience","AO",79.4,2018
"BHI-504","resilience","AO",80,2018
"BHI-505","resilience","AO",80.3,2018
"BHI-506","resilience","AO",79.9,2018
"BHI-507","resilience","AO",78.7,2018
"BHI-508","resilience","AO",76.9,2018
"BHI-509","resilience","AO",79.7,2018
"BHI-510","resilience","AO",80.7,2018
"BHI-511","resilience","AO",79.1,2018
"BHI-512","resilience","AO",80.4,2018
"BHI-513","resilience","AO",80.4,2018
"BHI-514","resilience","AO",81.6,2018
"BHI-515","resilience","AO",81.3,2018
"BHI-516","resilience","AO",81.5,2018
"BHI-517","resilience","AO",81.3,2018
"BHI-518","resilience","AO",NA,2018
"BHI-000","score","AO",81.4,2018
"BHI-001","score","AO",NA,2018
"BHI-002","score","AO",51.9,2018
"BHI-003","score","AO",54,2018
"BHI-005","score","AO",NA,2018
"BHI-006","score","AO",72.1,2018
"BHI-007","score","AO",NA,2018
"BHI-008","score","AO",NA,2018
"BHI-009","score","AO",69.6,2018
"BHI-010","score","AO",NA,2018
"BHI-011","score","AO",NA,2018
"BHI-012","score","AO",44.6,2018
"BHI-013","score","AO",NA,2018
"BHI-014","score","AO",91.7,2018
"BHI-015","score","AO",NA,2018
"BHI-016","score","AO",NA,2018
"BHI-017","score","AO",NA,2018
"BHI-018","score","AO",NA,2018
"BHI-019","score","AO",NA,2018
"BHI-020","score","AO",NA,2018
"BHI-021","score","AO",NA,2018
"BHI-022","score","AO",NA,2018
"BHI-023","score","AO",100,2018
"BHI-024","score","AO",83.5,2018
"BHI-025","score","AO",NA,2018
"BHI-026","score","AO",81.4,2018
"BHI-027","score","AO",99.9,2018
"BHI-028","score","AO",66.7,2018
"BHI-029","score","AO",89.2,2018
"BHI-030","score","AO",NA,2018
"BHI-031","score","AO",NA,2018
"BHI-032","score","AO",44.9,2018
"BHI-033","score","AO",NA,2018
"BHI-034","score","AO",NA,2018
"BHI-035","score","AO",72.5,2018
"BHI-036","score","AO",NA,2018
"BHI-037","score","AO",86.7,2018
"BHI-038","score","AO",91.7,2018
"BHI-039","score","AO",53.1,2018
"BHI-040","score","AO",88.8,2018
"BHI-041","score","AO",100,2018
"BHI-042","score","AO",100,2018
"BHI-043","score","AO",70.7,2018
"BHI-301","score","AO",87.2,2018
"BHI-302","score","AO",52.1,2018
"BHI-303","score","AO",NA,2018
"BHI-304","score","AO",NA,2018
"BHI-305","score","AO",NA,2018
"BHI-306","score","AO",100,2018
"BHI-307","score","AO",87.9,2018
"BHI-308","score","AO",66.7,2018
"BHI-309","score","AO",84.3,2018
"BHI-501","score","AO",51.9,2018
"BHI-502","score","AO",54,2018
"BHI-503","score","AO",72.1,2018
"BHI-504","score","AO",NA,2018
"BHI-505","score","AO",69.6,2018
"BHI-506","score","AO",44.6,2018
"BHI-507","score","AO",91.7,2018
"BHI-508","score","AO",NA,2018
"BHI-509","score","AO",87.2,2018
"BHI-510","score","AO",81.4,2018
"BHI-511","score","AO",81,2018
"BHI-512","score","AO",89.2,2018
"BHI-513","score","AO",44.9,2018
"BHI-514","score","AO",72.5,2018
"BHI-515","score","AO",89,2018
"BHI-516","score","AO",74.7,2018
"BHI-517","score","AO",100,2018
"BHI-518","score","AO",70.7,2018
"BHI-000","status","AO",77.1,2018
"BHI-001","status","AO",NA,2018
"BHI-002","status","AO",48.3,2018
"BHI-003","status","AO",50,2018
"BHI-005","status","AO",NA,2018
"BHI-006","status","AO",63.3,2018
"BHI-007","status","AO",NA,2018
"BHI-008","status","AO",NA,2018
"BHI-009","status","AO",63.3,2018
"BHI-010","status","AO",NA,2018
"BHI-011","status","AO",NA,2018
"BHI-012","status","AO",41.7,2018
"BHI-013","status","AO",NA,2018
"BHI-014","status","AO",83.3,2018
"BHI-015","status","AO",NA,2018
"BHI-016","status","AO",NA,2018
"BHI-017","status","AO",NA,2018
"BHI-018","status","AO",NA,2018
"BHI-019","status","AO",NA,2018
"BHI-020","status","AO",NA,2018
"BHI-021","status","AO",NA,2018
"BHI-022","status","AO",NA,2018
"BHI-023","status","AO",100,2018
"BHI-024","status","AO",83.3,2018
"BHI-025","status","AO",NA,2018
"BHI-026","status","AO",73.3,2018
"BHI-027","status","AO",100,2018
"BHI-028","status","AO",63.3,2018
"BHI-029","status","AO",83.3,2018
"BHI-030","status","AO",NA,2018
"BHI-031","status","AO",NA,2018
"BHI-032","status","AO",41.7,2018
"BHI-033","status","AO",NA,2018
"BHI-034","status","AO",NA,2018
"BHI-035","status","AO",63.3,2018
"BHI-036","status","AO",NA,2018
"BHI-037","status","AO",80,2018
"BHI-038","status","AO",83.3,2018
"BHI-039","status","AO",51.7,2018
"BHI-040","status","AO",83.3,2018
"BHI-041","status","AO",100,2018
"BHI-042","status","AO",100,2018
"BHI-043","status","AO",76.7,2018
"BHI-301","status","AO",81.1,2018
"BHI-302","status","AO",48.4,2018
"BHI-303","status","AO",NA,2018
"BHI-304","status","AO",NA,2018
"BHI-305","status","AO",NA,2018
"BHI-306","status","AO",100,2018
"BHI-307","status","AO",87.9,2018
"BHI-308","status","AO",63.3,2018
"BHI-309","status","AO",80.3,2018
"BHI-501","status","AO",48.3,2018
"BHI-502","status","AO",50,2018
"BHI-503","status","AO",63.3,2018
"BHI-504","status","AO",NA,2018
"BHI-505","status","AO",63.3,2018
"BHI-506","status","AO",41.7,2018
"BHI-507","status","AO",83.3,2018
"BHI-508","status","AO",NA,2018
"BHI-509","status","AO",87.1,2018
"BHI-510","status","AO",73.3,2018
"BHI-511","status","AO",79.1,2018
"BHI-512","status","AO",83.3,2018
"BHI-513","status","AO",41.7,2018
"BHI-514","status","AO",63.3,2018
"BHI-515","status","AO",81.6,2018
"BHI-516","status","AO",70.8,2018
"BHI-517","status","AO",100,2018
"BHI-518","status","AO",76.7,2018
"BHI-000","trend","AO",-0.004,2018
"BHI-001","trend","AO",NA,2018
"BHI-002","trend","AO",-0.04,2018
"BHI-003","trend","AO",-0.05,2018
"BHI-005","trend","AO",NA,2018
"BHI-006","trend","AO",0.07,2018
"BHI-007","trend","AO",NA,2018
"BHI-008","trend","AO",NA,2018
"BHI-009","trend","AO",NA,2018
"BHI-010","trend","AO",NA,2018
"BHI-011","trend","AO",NA,2018
"BHI-012","trend","AO",-0.01,2018
"BHI-013","trend","AO",NA,2018
"BHI-014","trend","AO",0.12,2018
"BHI-015","trend","AO",NA,2018
"BHI-016","trend","AO",NA,2018
"BHI-017","trend","AO",NA,2018
"BHI-018","trend","AO",NA,2018
"BHI-019","trend","AO",NA,2018
"BHI-020","trend","AO",NA,2018
"BHI-021","trend","AO",NA,2018
"BHI-022","trend","AO",NA,2018
"BHI-023","trend","AO",NA,2018
"BHI-024","trend","AO",-0.23,2018
"BHI-025","trend","AO",NA,2018
"BHI-026","trend","AO",0.05,2018
"BHI-027","trend","AO",-0.22,2018
"BHI-028","trend","AO",-0.05,2018
"BHI-029","trend","AO",-0.05,2018
"BHI-030","trend","AO",NA,2018
"BHI-031","trend","AO",NA,2018
"BHI-032","trend","AO",0.03,2018
"BHI-033","trend","AO",NA,2018
"BHI-034","trend","AO",NA,2018
"BHI-035","trend","AO",0.15,2018
