region_id,year,pressure_score
BHI-038,2013,0
BHI-038,2014,0
BHI-038,2015,0
BHI-038,2016,0
BHI-038,2017,0
BHI-037,1997,0
BHI-037,1998,0
BHI-037,1999,0.01
BHI-037,2000,0.45
BHI-037,2001,0.38
BHI-037,2002,0
BHI-037,2003,0
BHI-037,2004,0
BHI-037,2005,0
BHI-037,2006,0
BHI-037,2007,0
BHI-037,2008,0
BHI-037,2009,0
BHI-037,2010,0
BHI-037,2011,0
BHI-037,2012,0
BHI-037,2013,0
BHI-037,2014,0
BHI-037,2015,0
BHI-037,2016,0
BHI-037,2017,0
BHI-036,1997,0
BHI-036,1998,0
BHI-036,1999,0.01
BHI-036,2000,0.45
BHI-036,2001,0.38
BHI-036,2002,0
BHI-036,2003,0
BHI-036,2004,0
BHI-036,2005,0
BHI-036,2006,0
BHI-036,2007,0
BHI-036,2008,0
BHI-036,2009,0
BHI-036,2010,0
BHI-036,2011,0
BHI-036,2012,0
BHI-036,2013,0
BHI-036,2014,0
BHI-036,2015,0
BHI-036,2016,0
BHI-036,2017,0
BHI-035,1997,0
BHI-035,1998,0
BHI-035,1999,0.01
BHI-035,2000,0.45
BHI-035,2001,0.38
BHI-035,2002,0
BHI-035,2003,0
BHI-035,2004,0
BHI-035,2005,0
BHI-035,2006,0
BHI-035,2007,0
BHI-035,2008,0
BHI-035,2009,0
BHI-035,2010,0
BHI-035,2011,0
BHI-035,2012,0
BHI-035,2013,0
BHI-035,2014,0
BHI-035,2015,0
BHI-035,2016,0
BHI-035,2017,0
BHI-034,1997,0.77
BHI-034,1998,0.65
BHI-034,1999,0.67
BHI-034,2000,0.77
BHI-034,2001,0.74
BHI-034,2002,0.83
BHI-034,2003,0.76
BHI-034,2004,0.94
BHI-034,2005,1
BHI-034,2006,1
BHI-034,2007,0.71
BHI-034,2008,0.45
BHI-034,2009,0.71
BHI-034,2010,0.77
BHI-034,2011,0.77
BHI-034,2012,0.38
BHI-034,2013,0.25
BHI-034,2014,0.08
BHI-034,2015,0
