"region_id","year","surf_sal_pressure"
"BHI-021",1995,0.41
"BHI-022",1995,0.41
"BHI-023",1995,0.41
"BHI-024",1995,0.41
"BHI-025",1995,0.41
"BHI-026",1995,0.57
"BHI-027",1995,0.12
"BHI-028",1995,0.12
"BHI-029",1995,0.62
"BHI-030",1995,0.62
"BHI-031",1995,0.62
"BHI-032",1995,0.73
"BHI-033",1995,0.73
"BHI-034",1995,0.73
"BHI-035",1995,0.24
"BHI-036",1995,0.24
"BHI-037",1995,0.3
"BHI-038",1995,0.3
"BHI-039",1995,0.96
"BHI-040",1995,0.96
"BHI-041",1995,0.46
"BHI-042",1995,0.46
"BHI-043",1995,0.36
"BHI-001",1996,0.5
"BHI-002",1996,0.5
"BHI-003",1996,0.27
"BHI-005",1996,0.37
"BHI-006",1996,0.37
"BHI-007",1996,0.08
"BHI-008",1996,0.08
"BHI-009",1996,0.11
"BHI-010",1996,0.11
"BHI-011",1996,0.05
"BHI-012",1996,0.05
"BHI-013",1996,0.05
"BHI-014",1996,0.21
"BHI-015",1996,0.21
"BHI-016",1996,0.21
"BHI-017",1996,0.21
"BHI-018",1996,0.55
"BHI-019",1996,0.55
"BHI-020",1996,0.38
"BHI-021",1996,0.38
"BHI-022",1996,0.38
"BHI-023",1996,0.38
"BHI-024",1996,0.38
"BHI-025",1996,0.38
"BHI-026",1996,0.55
"BHI-027",1996,0.12
"BHI-028",1996,0.12
"BHI-029",1996,0.6
"BHI-030",1996,0.6
"BHI-031",1996,0.6
"BHI-032",1996,0.72
"BHI-033",1996,0.72
"BHI-034",1996,0.72
"BHI-035",1996,0.23
"BHI-036",1996,0.23
"BHI-037",1996,0.32
"BHI-038",1996,0.32
"BHI-039",1996,1
"BHI-040",1996,1
"BHI-041",1996,0.47
"BHI-042",1996,0.47
"BHI-043",1996,0.35
"BHI-001",1997,0.52
"BHI-002",1997,0.52
"BHI-003",1997,0.26
"BHI-005",1997,0.37
"BHI-006",1997,0.37
"BHI-007",1997,0.08
"BHI-008",1997,0.08
"BHI-009",1997,0.11
