region_id,helcom_id,year,BQR,area_km2
BHI-003,DEN-066,2018,NA,149.67642377
BHI-003,DEN-067,2018,NA,92.4400166215
BHI-003,DEN-068,2018,NA,16.4339733536
BHI-003,DEN-069,2018,NA,4.86319514556
BHI-003,DEN-070,2018,NA,10.232553905
BHI-003,DEN-071,2018,NA,32.7186075612
BHI-003,DEN-072,2018,NA,46.2426192214
BHI-002,DEN-073,2018,NA,1.94759118422
BHI-002,DEN-074,2018,NA,6.21357823682
BHI-002,DEN-075,2018,NA,18.1671700639
BHI-002,DEN-076,2018,NA,461.204481181
BHI-002,DEN-077,2018,NA,211.921996501
BHI-002,DEN-078,2018,NA,173.931729146
BHI-003,DEN-079,2018,NA,84.7066524523
BHI-003,DEN-080,2018,NA,15.8300025192
BHI-003,DEN-081,2018,NA,7.26283177407
BHI-003,DEN-082,2018,NA,34.9005377517
BHI-003,DEN-083,2018,NA,1.81660034319
BHI-003,DEN-084,2018,NA,275.947828136
BHI-002,DEN-085,2018,NA,616.702486133
BHI-002,DEN-086,2018,NA,1279.65731663
BHI-002,DEN-087,2018,NA,223.298658399
BHI-002,DEN-088,2018,NA,24.8183661877
BHI-002,DEN-089,2018,NA,17.6356657128
BHI-002,DEN-090,2018,NA,28.3753737659
BHI-002,DEN-091,2018,NA,62.3396479025
BHI-002,DEN-092,2018,NA,715.930224349
BHI-012,DEN-093,2018,NA,604.096981892
BHI-003,DEN-094,2018,NA,206.264486641
BHI-002,DEN-095,2018,NA,584.206087686
BHI-003,DEN-096,2018,NA,1131.44828932
BHI-003,DEN-097,2018,NA,50.5497823227
BHI-007,DEN-098,2018,NA,179.554751519
BHI-009,DEN-099,2018,NA,211.392494339
BHI-003,DEN-100,2018,NA,10.7169076295
BHI-003,DEN-101,2018,NA,2.00811252429
BHI-003,DEN-102,2018,NA,573.294626653
BHI-003,DEN-103,2018,NA,1116.45416689
BHI-003,DEN-104,2018,NA,279.143366063
BHI-003,DEN-105,2018,NA,1807.03619555
BHI-002,DEN-106,2018,NA,1052.58177606
BHI-003,DEN-107,2018,NA,321.232070061
BHI-002,DEN-108,2018,NA,443.80476309
BHI-034,EST-001,2018,0.5688,955.956922426
BHI-034,EST-002,2018,0.5317,596.214182577
BHI-034,EST-003,2018,0.6968,105.651838309
BHI-034,EST-004,2018,0.7334,464.242892798
BHI-034,EST-005,2018,0.5041,917.502488052
BHI-034,EST-006,2018,0.4508,638.064448704
BHI-028,EST-007,2018,0.5354,1367.38195934
BHI-028,EST-008,2018,0.3422,42.2347091675
BHI-028,EST-009,2018,0.5354,87.4122734757
BHI-031,EST-010,2018,0.3873,1211.80042711
BHI-025,EST-011,2018,0.7038,769.004880212
BHI-028,EST-012,2018,0.5018,5545.58599794
BHI-028,EST-013,2018,0.5299,220.33775457
BHI-028,EST-014,2018,0.2927,625.282828523
BHI-028,EST-015,2018,0.5546,64.5204786874
BHI-028,EST-016,2018,0.5906,894.127308054
BHI-043,FIN-001,2018,0.5869,1193.93996713
BHI-043,FIN-002,2018,0.5702,5548.25609509
BHI-032,FIN-003,2018,0.5758,1218.57166238
BHI-032,FIN-004,2018,0.576,3059.81325037
BHI-043,FIN-005,2018,0.56,1285.0030577
BHI-040,FIN-006,2018,0.564,653.745138359
BHI-040,FIN-007,2018,0.5926,2751.15433437
BHI-038,FIN-008,2018,0.5632,979.225592677
BHI-038,FIN-009,2018,0.587,2539.42047337
BHI-042,FIN-010,2018,0.5692,1290.8557899
BHI-042,FIN-011,2018,0.5839,4257.2934086
BHI-036,FIN-014,2018,NA,7041.92156582
BHI-010,GER-001,2018,0.3619,1.5351540484
BHI-010,GER-002,2018,0.4923,93.5154371853
BHI-010,GER-003,2018,0.5097,37.2295654375
BHI-010,GER-004,2018,0.6119,254.907869153
BHI-010,GER-005,2018,0.3865,12.7482139523
BHI-010,GER-006,2018,0.5856,82.598896045
BHI-013,GER-007,2018,0.1885,78.708358475
BHI-013,GER-008,2018,0.2828,33.1894598891
BHI-013,GER-009,2018,0.045,82.7967518659
BHI-013,GER-010,2018,0.6691,461.200933521
BHI-013,GER-011,2018,0.3799,168.440225191
BHI-013,GER-012,2018,0.3368,66.2915156915
BHI-013,GER-013,2018,0.3357,491.257002533
BHI-013,GER-014,2018,0.055,24.1021065093
BHI-013,GER-015,2018,0.5001,390.46642936
BHI-016,GER-016,2018,0.3658,87.1737606157
BHI-016,GER-017,2018,0.3351,82.5511608938
BHI-016,GER-018,2018,0.4797,228.792945656
BHI-016,GER-019,2018,0.3757,39.9070385581
BHI-016,GER-020,2018,0.3801,287.620771533
BHI-008,GER-021,2018,0.509,20.4695000258
BHI-008,GER-022,2018,0.5881,43.6640268718
BHI-008,GER-023,2018,0.5881,64.1612771309
BHI-008,GER-024,2018,0.5957,33.7764432229
BHI-008,GER-025,2018,0.2217,21.1530265754
BHI-008,GER-026,2018,NA,22.3718901273
BHI-008,GER-027,2018,NA,8.307644266
BHI-008,GER-028,2018,0.5955,49.919021523
BHI-008,GER-029,2018,0.5894,71.3877880407
BHI-008,GER-030,2018,0.6667,14.0296756701
BHI-008,GER-031,2018,0.5921,16.5256203579
BHI-008,GER-032,2018,0.4674,14.1156578925
BHI-008,GER-033,2018,0.6667,81.6586466931
BHI-008,GER-034,2018,0.6667,24.4628357601
BHI-008,GER-035,2018,0.6667,62.4610276707
BHI-010,GER-036,2018,1,257.74895446
BHI-008,GER-037,2018,1,12.498362887
BHI-008,GER-038,2018,0.6533,68.6682079951
BHI-010,GER-039,2018,0.6667,41.601345917
BHI-010,GER-040,2018,0.5955,39.2168522878
BHI-010,GER-041,2018,0.5942,45.5738064372
BHI-010,GER-042,2018,0.4192,0.851659861708
BHI-010,GER-043,2018,0.3554,16.3504504143
BHI-010,GER-044,2018,0.2878,4.21858461084
BHI-013,GER-111,2018,0.1249,126.301377974
BHI-024,LAT-001,2018,0.4168,239.31742951
BHI-024,LAT-002,2018,0.7068,502.290496879
BHI-027,LAT-003,2018,0.3193,387.080162904
BHI-027,LAT-004,2018,0.4975,308.89846516
BHI-027,LAT-005,2018,0.3061,855.811192004
BHI-023,LIT-001,2018,0.3818,6.75023957498
BHI-023,LIT-002,2018,0.5115,83.0090139973
BHI-023,LIT-003,2018,0.2852,33.1431420639
BHI-023,LIT-004,2018,0.625,211.595564392
BHI-023,LIT-005,2018,0.6558,175.085708317
BHI-023,LIT-006,2018,0.4143,112.896536996
BHI-017,POL-001,2018,0.4514,43.5550456425
BHI-017,POL-002,2018,0.3168,406.992457833
BHI-018,POL-003,2018,0.3841,302.195734724
BHI-018,POL-004,2018,0.1263,111.307190804
BHI-018,POL-005,2018,0.6099,286.351542891
BHI-018,POL-006,2018,0.5462,711.22342241
BHI-017,POL-007,2018,0.0451,2.38636356653
BHI-018,POL-008,2018,0.4069,64.3228775101
BHI-017,POL-009,2018,0.5217,8.92169266926
BHI-018,POL-010,2018,0.3462,70.2570557632
BHI-018,POL-011,2018,0.1689,41.3967215102
BHI-018,POL-012,2018,NA,0.121937750631
BHI-017,POL-013,2018,0,153.71806549
BHI-017,POL-014,2018,0,38.8173931275
BHI-017,POL-015,2018,0.0202,46.0761568429
BHI-021,POL-016,2018,0,141.190986545
BHI-018,POL-017,2018,0.1339,17.4607444774
BHI-017,POL-018,2018,0.1946,58.8122515532
BHI-017,POL-019,2018,0.3495,98.6739116326
BHI-033,RUS-001,2018,NA,3848.18703719
BHI-022,RUS-002,2018,NA,1376.76200347
BHI-019,RUS-003,2018,NA,620.39904182
BHI-001,SWE-001,2018,0.6699,336.381116694
BHI-001,SWE-003,2018,0.8676,884.502948973
BHI-001,SWE-004,2018,0.7862,1125.42567566
BHI-005,SWE-005,2018,0.6486,452.470305949
BHI-011,SWE-006,2018,0.5455,788.499270319
BHI-026,SWE-007,2018,0.6266,851.357152408
BHI-026,SWE-008,2018,0.6211,3039.36287061
BHI-020,SWE-009,2018,0.3947,1826.05894883
BHI-026,SWE-010,2018,0.458,486.689832475
BHI-029,SWE-011,2018,0.4609,2226.60754742
BHI-026,SWE-012,2018,0.4711,1226.72460201
BHI-026,SWE-013,2018,0.3262,89.9992375458
BHI-026,SWE-014,2018,0.4524,2291.10705445
BHI-029,SWE-015,2018,0.4433,2040.69020139
BHI-037,SWE-016,2018,0.6088,1372.4117494
BHI-037,SWE-017,2018,0.5496,2359.00026939
BHI-037,SWE-018,2018,0.5826,1126.80503994
BHI-037,SWE-019,2018,0.6938,1862.27909679
BHI-039,SWE-020,2018,0.5836,327.830207242
BHI-039,SWE-021,2018,0.4651,1566.36480481
BHI-041,SWE-022,2018,0.6844,1877.73662964
BHI-041,SWE-023,2018,0.5405,3472.09155771
BHI-029,SWE-024,2018,0.5612,119.697586769
BHI-001,SWE-025,2018,0.3226,60.5006321382
