bhi_id,dimension,score,year
2,status,48.33,2019
3,status,50,2019
6,status,63.33,2019
9,status,63.33,2019
12,status,41.67,2019
14,status,83.33,2019
23,status,100,2019
24,status,83.33,2019
26,status,73.33,2019
27,status,100,2019
28,status,63.33,2019
29,status,83.33,2019
32,status,41.67,2019
35,status,63.33,2019
37,status,80,2019
38,status,83.33,2019
39,status,51.67,2019
40,status,83.33,2019
41,status,100,2019
42,status,100,2019
43,status,76.67,2019
