region_id,year,employ_pop
BHI-040,2012,71.32
BHI-036,2012,71.32
BHI-043,2012,71.32
BHI-032,2012,71.32
BHI-023,2012,62
BHI-027,2012,63
BHI-024,2012,63
BHI-017,2012,59.9
BHI-018,2012,59.9
BHI-021,2012,59.9
BHI-011,2012,73.35
BHI-041,2012,73.35
BHI-037,2012,73.35
BHI-001,2012,73.35
BHI-029,2012,73.35
BHI-039,2012,73.35
BHI-035,2012,73.35
BHI-014,2012,73.35
BHI-005,2012,73.35
BHI-026,2012,73.35
BHI-020,2012,73.35
BHI-013,2013,73.75
BHI-008,2013,73.75
BHI-010,2013,73.75
BHI-016,2013,73.75
BHI-015,2013,70.36
BHI-002,2013,70.36
BHI-003,2013,70.36
BHI-006,2013,70.36
BHI-007,2013,70.36
BHI-009,2013,70.36
BHI-012,2013,70.36
BHI-025,2013,68.5
BHI-034,2013,68.5
BHI-028,2013,68.5
BHI-031,2013,68.5
BHI-042,2013,70.5
BHI-038,2013,70.5
BHI-040,2013,70.5
BHI-036,2013,70.5
BHI-043,2013,70.5
BHI-032,2013,70.5
BHI-023,2013,65.1
BHI-027,2013,65
BHI-024,2013,65
BHI-017,2013,59.62352941176471
BHI-018,2013,59.62352941176471
BHI-021,2013,59.62352941176471
BHI-011,2013,74.1375
BHI-041,2013,74.1375
BHI-037,2013,74.1375
BHI-001,2013,74.1375
BHI-029,2013,74.1375
BHI-039,2013,74.1375
BHI-035,2013,74.1375
BHI-014,2013,74.1375
BHI-005,2013,74.1375
BHI-026,2013,74.1375
BHI-020,2013,74.1375
BHI-013,2014,74.07368421052632
BHI-008,2014,74.07368421052632
BHI-010,2014,74.07368421052632
BHI-016,2014,74.07368421052632
BHI-015,2014,70.84
BHI-002,2014,70.84
BHI-003,2014,70.84
BHI-006,2014,70.84
BHI-007,2014,70.84
BHI-009,2014,70.84
BHI-012,2014,70.84
BHI-025,2014,69.6
BHI-034,2014,69.6
BHI-028,2014,69.6
BHI-031,2014,69.6
BHI-042,2014,70.96000000000001
BHI-038,2014,70.96000000000001
BHI-040,2014,70.96000000000001
BHI-036,2014,70.96000000000001
BHI-043,2014,70.96000000000001
BHI-032,2014,70.96000000000001
BHI-023,2014,67.1
BHI-027,2014,66.3
BHI-024,2014,66.3
BHI-017,2014,61.16470588235294
BHI-018,2014,61.16470588235294
BHI-021,2014,61.16470588235294
BHI-011,2014,74.6125
BHI-041,2014,74.6125
BHI-037,2014,74.6125
BHI-001,2014,74.6125
BHI-029,2014,74.6125
BHI-039,2014,74.6125
BHI-035,2014,74.6125
BHI-014,2014,74.6125
BHI-005,2014,74.6125
BHI-026,2014,74.6125
BHI-020,2014,74.6125
BHI-013,2015,74.22368421052632
BHI-008,2015,74.22368421052632
BHI-010,2015,74.22368421052632
BHI-016,2015,74.22368421052632
BHI-015,2015,71.56
BHI-002,2015,71.56
BHI-003,2015,71.56
BHI-006,2015,71.56
BHI-007,2015,71.56
BHI-009,2015,71.56
BHI-012,2015,71.56
BHI-025,2015,71.9
BHI-034,2015,71.9
BHI-028,2015,71.9
BHI-031,2015,71.9
BHI-042,2015,70.82000000000001
BHI-038,2015,70.82000000000001
BHI-040,2015,70.82000000000001
BHI-036,2015,70.82000000000001
BHI-043,2015,70.82000000000001
BHI-032,2015,70.82000000000001
BHI-023,2015,68.35
BHI-027,2015,68.1
BHI-024,2015,68.1
BHI-017,2015,62.529411764705884
BHI-018,2015,62.529411764705884
BHI-021,2015,62.529411764705884
BHI-011,2015,75.1125
BHI-041,2015,75.1125
BHI-037,2015,75.1125
BHI-001,2015,75.1125
BHI-029,2015,75.1125
BHI-039,2015,75.1125
BHI-035,2015,75.1125
BHI-014,2015,75.1125
BHI-005,2015,75.1125
BHI-026,2015,75.1125
BHI-020,2015,75.1125
BHI-013,2016,74.90526315789474
BHI-008,2016,74.90526315789474
BHI-010,2016,74.90526315789474
BHI-016,2016,74.90526315789474
