region_id,sector,year,gva_sector_prop,country_blueecon_gva
BHI-015,coastal_tourism,2010,0.17827385631190065,12722
BHI-003,coastal_tourism,2010,0.17827385631190065,12722
BHI-002,coastal_tourism,2010,0.17827385631190065,12722
BHI-007,coastal_tourism,2010,0.17827385631190065,12722
BHI-006,coastal_tourism,2010,0.17827385631190065,12722
BHI-012,marine_living_resources,2011,0.0530670045464709,13417
BHI-009,marine_living_resources,2011,0.0530670045464709,13417
BHI-015,marine_living_resources,2011,0.0530670045464709,13417
BHI-003,marine_living_resources,2011,0.0530670045464709,13417
BHI-002,marine_living_resources,2011,0.0530670045464709,13417
BHI-007,marine_living_resources,2011,0.0530670045464709,13417
BHI-006,marine_living_resources,2011,0.0530670045464709,13417
BHI-012,marine_nonliving_resources,2011,0.5036148170231796,13417
BHI-009,marine_nonliving_resources,2011,0.5036148170231796,13417
BHI-015,marine_nonliving_resources,2011,0.5036148170231796,13417
BHI-003,marine_nonliving_resources,2011,0.5036148170231796,13417
BHI-002,marine_nonliving_resources,2011,0.5036148170231796,13417
BHI-007,marine_nonliving_resources,2011,0.5036148170231796,13417
BHI-006,marine_nonliving_resources,2011,0.5036148170231796,13417
BHI-012,marine_renewable_energy,2011,0.009242006409778639,13417
BHI-009,marine_renewable_energy,2011,0.009242006409778639,13417
BHI-015,marine_renewable_energy,2011,0.009242006409778639,13417
BHI-003,marine_renewable_energy,2011,0.009242006409778639,13417
BHI-002,marine_renewable_energy,2011,0.009242006409778639,13417
BHI-007,marine_renewable_energy,2011,0.009242006409778639,13417
BHI-006,marine_renewable_energy,2011,0.009242006409778639,13417
BHI-012,port_activities,2011,0.030036520831780576,13417
BHI-009,port_activities,2011,0.030036520831780576,13417
BHI-015,port_activities,2011,0.030036520831780576,13417
BHI-003,port_activities,2011,0.030036520831780576,13417
BHI-002,port_activities,2011,0.030036520831780576,13417
BHI-007,port_activities,2011,0.030036520831780576,13417
BHI-006,port_activities,2011,0.030036520831780576,13417
BHI-012,shipbuilding_and_repair,2011,0.020794514422001937,13417
BHI-009,shipbuilding_and_repair,2011,0.020794514422001937,13417
BHI-015,shipbuilding_and_repair,2011,0.020794514422001937,13417
BHI-003,shipbuilding_and_repair,2011,0.020794514422001937,13417
BHI-002,shipbuilding_and_repair,2011,0.020794514422001937,13417
BHI-007,shipbuilding_and_repair,2011,0.020794514422001937,13417
BHI-006,shipbuilding_and_repair,2011,0.020794514422001937,13417
BHI-012,maritime_transport,2011,0.22218081538346873,13417
BHI-009,maritime_transport,2011,0.22218081538346873,13417
BHI-015,maritime_transport,2011,0.22218081538346873,13417
BHI-003,maritime_transport,2011,0.22218081538346873,13417
BHI-002,maritime_transport,2011,0.22218081538346873,13417
BHI-007,maritime_transport,2011,0.22218081538346873,13417
BHI-006,maritime_transport,2011,0.22218081538346873,13417
BHI-012,coastal_tourism,2011,0.16106432138331966,13417
BHI-009,coastal_tourism,2011,0.16106432138331966,13417
BHI-015,coastal_tourism,2011,0.16106432138331966,13417
BHI-003,coastal_tourism,2011,0.16106432138331966,13417
BHI-002,coastal_tourism,2011,0.16106432138331966,13417
BHI-007,coastal_tourism,2011,0.16106432138331966,13417
BHI-006,coastal_tourism,2011,0.16106432138331966,13417
BHI-012,marine_living_resources,2012,0.055397611891804074,12311
BHI-009,marine_living_resources,2012,0.055397611891804074,12311
BHI-015,marine_living_resources,2012,0.055397611891804074,12311
BHI-003,marine_living_resources,2012,0.055397611891804074,12311
BHI-002,marine_living_resources,2012,0.055397611891804074,12311
BHI-007,marine_living_resources,2012,0.055397611891804074,12311
BHI-006,marine_living_resources,2012,0.055397611891804074,12311
BHI-012,marine_nonliving_resources,2012,0.49402972951019414,12311
BHI-009,marine_nonliving_resources,2012,0.49402972951019414,12311
BHI-015,marine_nonliving_resources,2012,0.49402972951019414,12311
BHI-003,marine_nonliving_resources,2012,0.49402972951019414,12311
BHI-002,marine_nonliving_resources,2012,0.49402972951019414,12311
BHI-007,marine_nonliving_resources,2012,0.49402972951019414,12311
BHI-006,marine_nonliving_resources,2012,0.49402972951019414,12311
BHI-012,marine_renewable_energy,2012,0.011047031110389082,12311
