helcom_id,area_km2
DEN-001,71.86751127590499
DEN-002,51.612186326859046
DEN-003,298.00563020368855
DEN-004,10.563292830937097
DEN-005,7.840105626992974
DEN-006,9.531225974073228
DEN-007,6.525073063599765
DEN-008,253.4475661944835
DEN-009,5.25386445980116
DEN-010,103.49415229683838
DEN-011,819.0485869898863
DEN-012,57.216444980532295
DEN-013,250.2186011761365
DEN-014,15.45684596918503
DEN-015,17.11107784030425
DEN-016,40.90250827361354
DEN-017,82.07476717558559
DEN-018,59.40521956864251
DEN-019,363.72123375319137
DEN-020,101.00564251894802
DEN-021,555.213233905423
DEN-022,21.865767431864533
DEN-023,132.9138139066202
DEN-024,5.187030508665622
DEN-025,213.6876860632261
DEN-026,18.933757842615492
DEN-027,4.808791421928406
DEN-028,2.5987434747481197
DEN-029,6.084850413117908
DEN-030,6.687719136559052
DEN-031,2.8601434181201606
DEN-032,1.1788984010605217
DEN-033,6.891629732610959
DEN-034,0.22262983650961518
DEN-035,0.0831285706728762
DEN-036,0.2558147690872848
DEN-037,10.07451488384757
DEN-038,0.2620727429558188
DEN-039,0.8380010934027136
DEN-040,0.10526130328706652
DEN-041,0.2001597493045181
DEN-042,10.31400729885982
DEN-043,0.26337996620072796
DEN-044,0.171463651533643
DEN-045,0.5048589301881045
DEN-046,3.382283724525817
DEN-047,5.402651180861183
DEN-048,8.095310273624088
DEN-049,67.02189331299537
DEN-050,10.680180935826245
DEN-051,207.77811407445083
DEN-052,46.23248855777279
DEN-053,15.475053092309784
DEN-054,181.84679906309987
DEN-055,101.41820054099321
DEN-056,5.0189957004108425
DEN-057,32.88603442407894
DEN-058,35.16342667161198
DEN-059,5.524437436611652
DEN-060,15.117466516226791
DEN-061,5.152146842992338
DEN-062,0.37099126360002904
DEN-063,1.896181500016749
DEN-064,8.046325404118493
DEN-065,13.293375241964071
DEN-066,149.6764237697593
DEN-067,92.44001662150646
DEN-068,16.4339733536476
DEN-069,4.863195145559794
DEN-070,10.23255390501865
DEN-071,32.71860756119266
DEN-072,46.242619221446276
DEN-073,1.9475911842174007
DEN-074,6.213578236817896
DEN-075,18.167170063946767
DEN-076,461.2044811814185
DEN-077,211.92199650067485
DEN-078,173.93172914617398
DEN-079,84.70665245228508
DEN-080,15.830002519183832
DEN-081,7.262831774068512
DEN-082,34.90053775175552
DEN-083,1.8166003431946598
DEN-084,275.9478281357651
DEN-085,616.7024861331104
DEN-086,1279.6573166311064
DEN-087,223.2986583987982
DEN-088,24.818366187744004
DEN-089,17.63566571280362
DEN-090,28.375373765837985
DEN-091,62.33964790247211
DEN-092,715.9302243488817
DEN-093,604.0969818921459
DEN-094,206.2644866405059
DEN-095,584.2060876857851
DEN-096,1131.4482893250347
DEN-097,50.54978232272559
DEN-098,179.5547515190059
DEN-099,211.39249433890112
DEN-100,10.716907629495841
DEN-101,2.0081125242911875
DEN-102,573.2946266530142
DEN-103,1116.4541668935244
DEN-104,279.1433660626934
DEN-105,1807.036195551747
DEN-106,1052.581776064748
DEN-107,321.23207006113745
DEN-108,443.8047630903171
EST-001,955.9569224262118
EST-002,596.214182577094
EST-003,105.65183830911164
EST-004,464.2428927981472
EST-005,917.5024880519385
EST-006,638.0644487038993
EST-007,1367.3819593388362
EST-008,42.23470916755977
EST-009,87.41227347581267
EST-010,1211.800427113623
EST-011,769.0048802119618
EST-012,5545.58599793823
EST-013,220.3377545699694
EST-014,625.2828285226143
EST-015,64.52047868739689
EST-016,894.1273080540841
FIN-001,1193.9399671271458
FIN-002,5548.25609508843
FIN-003,1218.5716623785056
FIN-004,3059.813250373934
FIN-005,1285.003057698644
FIN-006,653.7451383596696
FIN-007,2751.154334372044
FIN-008,979.2255926760956
FIN-009,2539.4204733793645
FIN-010,1290.855789899628
FIN-011,4257.293408602896
FIN-012,241.83607753030415
FIN-013,490.6711899241706
FIN-014,7041.921565820911
GER-001,1.5351540483974815
GER-002,93.51543718527842
GER-003,37.22956543744111
GER-004,254.9078691528129
GER-005,12.748213952207484
GER-006,82.59889604506206
GER-007,78.70835847505546
GER-008,33.18945988910511
GER-009,82.79675186585308
GER-010,461.20093352107375
GER-011,168.44022519081366
GER-012,66.29151569151378
GER-013,491.25700253321514
GER-014,24.102106509295403
GER-015,390.46642935985756
GER-016,87.17376061579895
GER-017,82.55116089382115
GER-018,228.79294565559198
GER-019,39.90703855811715
GER-020,287.6207715333916
GER-021,20.469500025784264
GER-022,43.664026871881305
GER-023,64.16127713091565
GER-024,33.77644322294491
GER-025,21.15302657541124
GER-026,22.371890127361766
GER-027,8.307644265998304
GER-028,49.91902152293351
GER-029,71.38778804073524
GER-030,14.029675670127034
GER-031,16.525620357944607
GER-032,14.115657892517627
GER-033,81.65864669312224
GER-034,24.46283576007369
GER-035,62.46102767073083
GER-036,257.7489544598356
GER-037,12.498362886995375
GER-038,68.66820799507308
GER-039,41.60134591704975
GER-040,39.21685228777898
GER-041,45.57380643725991
GER-042,0.8516598617073894
GER-043,16.350450414322168
GER-044,4.218584610831185
GER-111,126.30137797398655
LAT-001,239.31742950974274
LAT-002,502.2904968786392
LAT-003,387.0801629043956
LAT-004,308.8984651604114
LAT-005,855.811192003582
LIT-001,6.750239574981749
LIT-002,83.00901399736487
LIT-003,33.143142063934924
LIT-004,211.5955643915292
LIT-005,175.0857083171847
LIT-006,112.89653699557907
POL-001,43.55504564268905
POL-002,406.99245783240104
POL-003,302.1957347241837
POL-004,111.30719080387126
POL-005,286.3515428907824
POL-006,711.223422409557
POL-007,2.3863635665254592
POL-008,64.32287751014047
