"region_id","assessment_year_red_list","scientific_name","common_name","species_group","red_list_category"
3,2013,"Carcinus maenas","Common shore crab","Benthic Invertebrates","LC - Least Concern"
3,2013,"Mytilus edulis","Blue mussel","Benthic Invertebrates","LC - Least Concern"
3,2013,"Fucus vesiculosus","Bladder wrack","Macrophytes","LC - Least Concern"
3,2013,"Zostera marina","Eelgrass/Sea grass","Macrophytes","LC - Least Concern"
3,2013,"Haliaeetus albicilla","sea eagle","Birds","LC - Least Concern"
3,2013,"Somateria mollissima","common eider","Birds","VU - Vulnerable"
4,2007,"Gadus morhua","Cod","Fish and Lamprey","EN - Endangered"
4,2013,"Gadus morhua","Cod","Fish and Lamprey","VU - Vulnerable"
4,2013,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
4,2007,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
4,2007,"Clupea harengus","Herring","Fish and Lamprey","EN - Endangered"
4,2013,"Clupea harengus","Herring","Fish and Lamprey","LC - Least Concern"
4,2013,"Sprattus sprattus","Sprat","Fish and Lamprey","LC - Least Concern"
4,2013,"Halichoerus grypus","grey seal / gray seal","Mammals","LC - Least Concern"
4,2013,"Lutra lutra","European otter / Euraisan otter","Mammals","NT - Near Threatened"
4,2013,"Phoca vitulina vitulina","harbour seal / common seal","Mammals","LC - Least Concern"
4,2013,"Phocoena phocoena (Baltic Sea Sub-population)","harbour porpoise","Mammals","CR - Critically Endangered"
4,2013,"Phocoena phocoena (Western Baltic Sea subpopulation)","harbour porpoise","Mammals","VU - Vulnerable"
4,2013,"Nephrops norvegicus","Dublin Bay lobster","Benthic Invertebrates","LC - Least Concern"
4,2013,"Carcinus maenas","Common shore crab","Benthic Invertebrates","LC - Least Concern"
4,2013,"Mytilus edulis","Blue mussel","Benthic Invertebrates","LC - Least Concern"
4,2013,"Fucus vesiculosus","Bladder wrack","Macrophytes","LC - Least Concern"
4,2013,"Zostera marina","Eelgrass/Sea grass","Macrophytes","LC - Least Concern"
4,2013,"Haliaeetus albicilla","sea eagle","Birds","LC - Least Concern"
4,2013,"Somateria mollissima","common eider","Birds","VU - Vulnerable"
5,2007,"Gadus morhua","Cod","Fish and Lamprey","EN - Endangered"
5,2013,"Gadus morhua","Cod","Fish and Lamprey","VU - Vulnerable"
5,2013,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
5,2007,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
5,2007,"Clupea harengus","Herring","Fish and Lamprey","EN - Endangered"
5,2013,"Clupea harengus","Herring","Fish and Lamprey","LC - Least Concern"
5,2013,"Sprattus sprattus","Sprat","Fish and Lamprey","LC - Least Concern"
5,2013,"Halichoerus grypus","grey seal / gray seal","Mammals","LC - Least Concern"
5,2013,"Phoca vitulina vitulina","harbour seal / common seal","Mammals","LC - Least Concern"
5,2013,"Phocoena phocoena (Baltic Sea Sub-population)","harbour porpoise","Mammals","CR - Critically Endangered"
5,2013,"Phocoena phocoena (Western Baltic Sea subpopulation)","harbour porpoise","Mammals","VU - Vulnerable"
5,2013,"Cygnus olor","Mute swan","Birds","LC - Least Concern"
5,2013,"Mergus merganser","Common merganser","Birds","LC - Least Concern"
5,2013,"Nephrops norvegicus","Dublin Bay lobster","Benthic Invertebrates","LC - Least Concern"
5,2013,"Carcinus maenas","Common shore crab","Benthic Invertebrates","LC - Least Concern"
5,2013,"Mytilus edulis","Blue mussel","Benthic Invertebrates","LC - Least Concern"
5,2013,"Furcellaria lumbricalis","Red seaweed","Macrophytes","LC - Least Concern"
5,2013,"Zostera marina","Eelgrass/Sea grass","Macrophytes","LC - Least Concern"
5,2013,"Haliaeetus albicilla","sea eagle","Birds","LC - Least Concern"
5,2013,"Somateria mollissima","common eider","Birds","VU - Vulnerable"
6,2007,"Gadus morhua","Cod","Fish and Lamprey","EN - Endangered"
6,2013,"Gadus morhua","Cod","Fish and Lamprey","VU - Vulnerable"
6,2013,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
6,2007,"Platichthys flesus","Flounder","Fish and Lamprey","LC - Least Concern"
6,2007,"Clupea harengus","Herring","Fish and Lamprey","EN - Endangered"
6,2013,"Clupea harengus","Herring","Fish and Lamprey","LC - Least Concern"
6,2013,"Sprattus sprattus","Sprat","Fish and Lamprey","LC - Least Concern"
6,2013,"Halichoerus grypus","grey seal / gray seal","Mammals","LC - Least Concern"
6,2013,"Phoca vitulina vitulina","harbour seal / common seal","Mammals","LC - Least Concern"
6,2013,"Phocoena phocoena (Baltic Sea Sub-population)","harbour porpoise","Mammals","CR - Critically Endangered"
6,2013,"Phocoena phocoena (Western Baltic Sea subpopulation)","harbour porpoise","Mammals","VU - Vulnerable"
6,2013,"Cygnus olor","Mute swan","Birds","LC - Least Concern"
6,2013,"Mergus merganser","Common merganser","Birds","LC - Least Concern"
6,2013,"Nephrops norvegicus","Dublin Bay lobster","Benthic Invertebrates","LC - Least Concern"
6,2013,"Carcinus maenas","Common shore crab","Benthic Invertebrates","LC - Least Concern"
6,2013,"Mytilus edulis","Blue mussel","Benthic Invertebrates","LC - Least Concern"
6,2013,"Furcellaria lumbricalis","Red seaweed","Macrophytes","LC - Least Concern"
6,2013,"Zostera marina","Eelgrass/Sea grass","Macrophytes","LC - Least Concern"
6,2013,"Haliaeetus albicilla","sea eagle","Birds","LC - Least Concern"
6,2013,"Somateria mollissima","common eider","Birds","VU - Vulnerable"
7,2007,"Gadus morhua","Cod","Fish and Lamprey","EN - Endangered"
7,2013,"Gadus morhua","Cod","Fish and Lamprey","VU - Vulnerable"
7,2007,"Clupea harengus","Herring","Fish and Lamprey","EN - Endangered"
7,2013,"Clupea harengus","Herring","Fish and Lamprey","LC - Least Concern"
7,2013,"Sprattus sprattus","Sprat","Fish and Lamprey","LC - Least Concern"
7,2013,"Lutra lutra","European otter / Euraisan otter","Mammals","NT - Near Threatened"
7,2013,"Phocoena phocoena (Baltic Sea Sub-population)","harbour porpoise","Mammals","CR - Critically Endangered"
7,2013,"Phocoena phocoena (Western Baltic Sea subpopulation)","harbour porpoise","Mammals","VU - Vulnerable"
7,2013,"Nephrops norvegicus","Dublin Bay lobster","Benthic Invertebrates","LC - Least Concern"
7,2013,"Mytilus edulis","Blue mussel","Benthic Invertebrates","LC - Least Concern"
7,2013,"Furcellaria lumbricalis","Red seaweed","Macrophytes","LC - Least Concern"
7,2013,"Fucus vesiculosus","Bladder wrack","Macrophytes","LC - Least Concern"
7,2013,"Haliaeetus albicilla","sea eagle","Birds","LC - Least Concern"
7,2013,"Somateria mollissima","common eider","Birds","VU - Vulnerable"
8,2007,"Gadus morhua","Cod","Fish and Lamprey","EN - Endangered"
8,2013,"Gadus morhua","Cod","Fish and Lamprey","VU - Vulnerable"
8,2007,"Clupea harengus","Herring","Fish and Lamprey","EN - Endangered"
8,2013,"Clupea harengus","Herring","Fish and Lamprey","LC - Least Concern"
8,2013,"Sprattus sprattus","Sprat","Fish and Lamprey","LC - Least Concern"
8,2013,"Lutra lutra","European otter / Euraisan otter","Mammals","NT - Near Threatened"
8,2013,"Phocoena phocoena (Baltic Sea Sub-population)","harbour porpoise","Mammals","CR - Critically Endangered"
8,2013,"Phocoena phocoena (Western Baltic Sea subpopulation)","harbour porpoise","Mammals","VU - Vulnerable"
8,2013,"Nephrops norvegicus","Dublin Bay lobster","Benthic Invertebrates","LC - Least Concern"
8,2013,"Mytilus edulis","Blue mussel","Benthic Invertebrates","LC - Least Concern"
8,2013,"Furcellaria lumbricalis","Red seaweed","Macrophytes","LC - Least Concern"
