region_id,helcom_id,year,BQR,area_km2,feeder_group,spatial_group
BHI-012,SEA-006,2018,NA,4528.912516660001,"pelagic_feeders, wintering_birds",Bornholm Group
BHI-012,SEA-006,2018,NA,4528.912516660001,"benthic_feeders, wintering_birds",Bornholm Group
BHI-012,SEA-006,2018,NA,4528.912516660001,"grazing_feeders, wintering_birds",Bornholm Group
BHI-011,SEA-006,2018,NA,3813.544537195,"wading_feeders, wintering_birds",Bornholm Group
BHI-011,SEA-006,2018,NA,3813.544537195,"surface_feeders, wintering_birds",Bornholm Group
BHI-011,SEA-006,2018,NA,3813.544537195,"pelagic_feeders, wintering_birds",Bornholm Group
BHI-011,SEA-006,2018,NA,3813.544537195,"benthic_feeders, wintering_birds",Bornholm Group
BHI-011,SEA-006,2018,NA,3813.544537195,"grazing_feeders, wintering_birds",Bornholm Group
BHI-016,SEA-007,2018,NA,1942.6770829400002,"wading_feeders, wintering_birds",Bornholm Group
BHI-016,SEA-007,2018,NA,1942.6770829400002,"surface_feeders, wintering_birds",Bornholm Group
BHI-016,SEA-007,2018,NA,1942.6770829400002,"pelagic_feeders, wintering_birds",Bornholm Group
BHI-016,SEA-007,2018,NA,1942.6770829400002,"benthic_feeders, wintering_birds",Bornholm Group
BHI-016,SEA-007,2018,NA,1942.6770829400002,"grazing_feeders, wintering_birds",Bornholm Group
BHI-015,SEA-007,2018,NA,9241.276205179,"wading_feeders, wintering_birds",Bornholm Group
BHI-015,SEA-007,2018,NA,9241.276205179,"surface_feeders, wintering_birds",Bornholm Group
BHI-015,SEA-007,2018,NA,9241.276205179,"pelagic_feeders, wintering_birds",Bornholm Group
BHI-015,SEA-007,2018,NA,9241.276205179,"benthic_feeders, wintering_birds",Bornholm Group
BHI-015,SEA-007,2018,NA,9241.276205179,"grazing_feeders, wintering_birds",Bornholm Group
BHI-017,SEA-007,2018,NA,14138.627619132,"wading_feeders, wintering_birds",Bornholm Group
BHI-017,SEA-007,2018,NA,14138.627619132,"surface_feeders, wintering_birds",Bornholm Group
BHI-017,SEA-007,2018,NA,14138.627619132,"pelagic_feeders, wintering_birds",Bornholm Group
BHI-017,SEA-007,2018,NA,14138.627619132,"benthic_feeders, wintering_birds",Bornholm Group
BHI-017,SEA-007,2018,NA,14138.627619132,"grazing_feeders, wintering_birds",Bornholm Group
BHI-014,SEA-007,2018,NA,13529.13360915,"wading_feeders, wintering_birds",Bornholm Group
BHI-014,SEA-007,2018,NA,13529.13360915,"surface_feeders, wintering_birds",Bornholm Group
BHI-014,SEA-007,2018,NA,13529.13360915,"pelagic_feeders, wintering_birds",Bornholm Group
BHI-014,SEA-007,2018,NA,13529.13360915,"benthic_feeders, wintering_birds",Bornholm Group
BHI-014,SEA-007,2018,NA,13529.13360915,"grazing_feeders, wintering_birds",Bornholm Group
BHI-018,SEA-008,2018,NA,2120.90485779,"wading_feeders, wintering_birds",Gotland Group
BHI-018,SEA-008,2018,NA,2120.90485779,"surface_feeders, wintering_birds",Gotland Group
BHI-018,SEA-008,2018,NA,2120.90485779,"pelagic_feeders, wintering_birds",Gotland Group
BHI-018,SEA-008,2018,NA,2120.90485779,"benthic_feeders, wintering_birds",Gotland Group
BHI-018,SEA-008,2018,NA,2120.90485779,"grazing_feeders, wintering_birds",Gotland Group
BHI-019,SEA-008,2018,NA,1529.9417506470002,"wading_feeders, wintering_birds",Gotland Group
BHI-019,SEA-008,2018,NA,1529.9417506470002,"surface_feeders, wintering_birds",Gotland Group
BHI-019,SEA-008,2018,NA,1529.9417506470002,"pelagic_feeders, wintering_birds",Gotland Group
BHI-019,SEA-008,2018,NA,1529.9417506470002,"benthic_feeders, wintering_birds",Gotland Group
BHI-019,SEA-008,2018,NA,1529.9417506470002,"grazing_feeders, wintering_birds",Gotland Group
BHI-025,SEA-009,2018,NA,4859.3628284119995,"wading_feeders, wintering_birds",Gotland Group
BHI-025,SEA-009,2018,NA,4859.3628284119995,"surface_feeders, wintering_birds",Gotland Group
BHI-025,SEA-009,2018,NA,4859.3628284119995,"pelagic_feeders, wintering_birds",Gotland Group
BHI-025,SEA-009,2018,NA,4859.3628284119995,"benthic_feeders, wintering_birds",Gotland Group
BHI-025,SEA-009,2018,NA,4859.3628284119995,"grazing_feeders, wintering_birds",Gotland Group
BHI-023,SEA-009,2018,NA,6201.024208697,"wading_feeders, wintering_birds",Gotland Group
BHI-023,SEA-009,2018,NA,6201.024208697,"surface_feeders, wintering_birds",Gotland Group
BHI-023,SEA-009,2018,NA,6201.024208697,"pelagic_feeders, wintering_birds",Gotland Group
BHI-023,SEA-009,2018,NA,6201.024208697,"benthic_feeders, wintering_birds",Gotland Group
BHI-023,SEA-009,2018,NA,6201.024208697,"grazing_feeders, wintering_birds",Gotland Group
BHI-024,SEA-009,2018,NA,19827.010825729998,"wading_feeders, wintering_birds",Gotland Group
BHI-024,SEA-009,2018,NA,19827.010825729998,"surface_feeders, wintering_birds",Gotland Group
BHI-024,SEA-009,2018,NA,19827.010825729998,"pelagic_feeders, wintering_birds",Gotland Group
BHI-024,SEA-009,2018,NA,19827.010825729998,"benthic_feeders, wintering_birds",Gotland Group
BHI-024,SEA-009,2018,NA,19827.010825729998,"grazing_feeders, wintering_birds",Gotland Group
BHI-021,SEA-009,2018,NA,10912.177575362999,"wading_feeders, wintering_birds",Gotland Group
BHI-021,SEA-009,2018,NA,10912.177575362999,"surface_feeders, wintering_birds",Gotland Group
BHI-021,SEA-009,2018,NA,10912.177575362999,"pelagic_feeders, wintering_birds",Gotland Group
