region_id,latitude,longitude,year,value,matrix
29,58.696333330000016,18.069,1990,14.86308785,bio
36,60.25,19.5,1991,8.024999999999999,bio
41,65.58933332999999,22.695666669999998,1991,9.090400714285714,bio
32,60.25,26.5,1991,6.8325000000000005,bio
14,55.954499999999996,15.79033333,1991,10.85116485,bio
30,59.75,22.5,1991,6.739999999999999,bio
29,58.696333330000016,18.069,1991,11.704276785714285,bio
42,64.25,23.5,1991,3.725,bio
38,61.75,20.5,1991,5.795,bio
1,57.223166670000005,11.83333333,1991,7.09975504,bio
42,64.25,23.5,1992,4.22275,bio
29,58.696333330000016,18.069,1992,13.448525736842106,bio
38,61.75,21.5,1992,6.4,bio
32,60.25,26.5,1992,8.84,bio
30,59.75,22.5,1992,7.469,bio
31,58.75,20.5,1992,8.815,bio
1,57.223166670000005,11.83333333,1992,6.340782999999999,bio
30,59.75,22.5,1993,8.6025,bio
38,61.75,20.5,1993,9.47,bio
42,64.25,23.5,1993,8.8875,bio
1,57.223166670000005,11.83333333,1993,4.10126125,bio
29,58.696333330000016,18.069,1993,15.148893249999999,bio
32,60.25,26.5,1993,12.959999999999999,bio
36,60.25,19.5,1993,9.8525,bio
14,55.954499999999996,15.79033333,1993,8.7372583,bio
37,60.732166670000005,17.872666669999997,1994,13.449674777777778,bio
1,57.223166670000005,11.83333333,1994,6.31827435,bio
14,55.954499999999996,15.79033333,1994,8.115507210526316,bio
29,58.696333330000016,18.069,1994,11.03468452631579,bio
1,57.223166670000005,11.83333333,1995,5.938741888888889,bio
37,60.732166670000005,17.872666669999997,1995,11.110653833333334,bio
29,58.696333330000016,18.069,1995,13.068145166666667,bio
14,55.954499999999996,15.79033333,1995,8.262481,bio
29,58.696333330000016,18.069,1996,12.612349272727272,bio
37,60.732166670000005,17.872666669999997,1996,6.985476285714285,bio
14,55.9491,15.780999999999999,1997,9.551557200000001,bio
37,60.5326,18.162399999999998,1997,16.645578699999998,bio
1,57.224700000000006,11.828,1997,3.52682475,bio
41,65.5825,22.8791,1997,2.90274675,bio
14,55.9491,15.780999999999999,1997,11.4079658,bio
29,58.693600000000004,18.0043,1997,16.342681083333332,bio
37,60.5326,18.162399999999998,1998,15.837865125,bio
14,55.9491,15.780999999999999,1998,7.9472299,bio
32,60.25,25.5,1998,21.762837837837836,bio
38,61.75,20.5,1998,9.979687499999999,bio
1,57.224700000000006,11.828,1998,3.8674399999999998,bio
42,64.25,23.5,1998,7.970619999999999,bio
21,54.91666666999999,18.666666669999998,1998,35.64525,bio
37,60.5326,18.162399999999998,1998,13.702497,bio
14,55.9491,15.780999999999999,1998,8.6728652,bio
36,60.16666667,19.5,1998,8.817,bio
32,60.25,26.5,1998,10.111636363636363,bio
32,59.75,23.5,1998,9.31795238095238,bio
29,58.693600000000004,18.0043,1998,14.374708499999999,bio
14,55.9491,15.780999999999999,1999,6.739191583333334,bio
37,60.5326,18.162399999999998,1999,25.0936081,bio
14,55.9491,15.780999999999999,1999,17.993668222222222,bio
42,64.25,23.5,1999,14.619423076923077,bio
1,57.224700000000006,11.828,1999,6.6954148,bio
36,60.25,19.5,1999,6.103571428571429,bio
21,54.91666666999999,18.666666669999998,1999,18.2825,bio
38,61.616666669999994,20.783333329999994,1999,5.093333333333334,bio
41,65.5825,22.8791,1999,3.5658200000000004,bio
32,59.75,23.5,1999,5.23019,bio
32,60.116666669999994,26.33333333,1999,6.10016,bio
29,58.693600000000004,18.0043,1999,9.793762333333333,bio
14,55.9491,15.780999999999999,2000,6.962738,bio
37,60.5326,18.162399999999998,2000,16.686042,bio
21,54.91666666999999,18.666666669999998,2000,27.1015,bio
37,60.5326,18.162399999999998,2000,12.55851,bio
14,55.9491,15.780999999999999,2000,4.98096,bio
1,57.224700000000006,11.828,2000,5.358332,bio
29,58.693600000000004,18.0043,2000,18.49245625,bio
32,59.716666669999995,23.33333333,2001,8.081475,bio
14,55.9491,15.780999999999999,2001,5.860517,bio
37,60.5326,18.162399999999998,2001,11.650333,bio
14,55.9491,15.780999999999999,2001,3.63964,bio
21,54.91666666999999,18.666666669999998,2001,18.009,bio
32,60.33333333000001,26.150000000000002,2001,4.545909090909091,bio
32,59.63333333000001,23.75,2001,3.521666666666667,bio
38,61.6,20.83333333,2001,4.079178571428572,bio
42,64.3,23.108333329999997,2001,2.9235416666666665,bio
41,65.5825,22.8791,2001,14.481689999999997,bio
29,58.693600000000004,18.0043,2001,8.350818181818182,bio
37,60.5326,18.162399999999998,2002,27.009281111111115,bio
14,55.9491,15.780999999999999,2002,6.2368950000000005,bio
38,61.75,20.5,2002,3.0395555555555553,bio
32,59.76666667,23.866666669999997,2002,4.794964285714286,bio
42,64.14999999999999,23.258333329999996,2002,2.6418333333333335,bio
36,60.18333333000001,19.466666669999995,2002,2.922772727272727,bio
32,60.366666669999994,26.81666667,2002,5.721444444444445,bio
21,54.91666666999999,18.666666669999998,2002,12.393,bio
41,65.5825,22.8791,2002,3.4207799999999997,bio
37,60.5326,18.162399999999998,2002,6.9199649999999995,bio
29,58.693600000000004,18.0043,2002,5.956710833333333,bio
14,55.9491,15.780999999999999,2003,7.105723333333334,bio
37,60.5326,18.162399999999998,2003,6.911922857142857,bio
21,54.91666666999999,18.666666669999998,2003,12.417275,bio
37,60.5326,18.162399999999998,2003,6.379128333333334,bio
14,55.9491,15.780999999999999,2003,6.446366,bio
29,58.693600000000004,18.0043,2003,6.370846363636363,bio
37,60.5326,18.162399999999998,2004,11.652529,bio
14,55.9491,15.780999999999999,2004,4.28797375,bio
21,54.91666666999999,18.666666669999998,2004,8.8795,bio
