region_id,latitude,longitude,year,value,matrix
1,57.224700000000006,11.828,1998,0.2311231325,bio
14,55.9491,15.780999999999999,1998,0.245217075,bio
14,55.9491,15.780999999999999,1999,0.258298775,bio
1,57.224700000000006,11.828,1999,0.0781955175,bio
41,65.5825,22.8791,1999,0.1815239525,bio
14,55.9491,15.780999999999999,2001,0.35632728,bio
1,57.224700000000006,11.828,2001,0.10679005500000001,bio
41,65.5825,22.8791,2001,0.342370155,bio
1,57.224700000000006,11.828,2004,0.1045618,bio
41,65.5825,22.8791,2004,0.377821625,bio
14,55.9491,15.780999999999999,2009,0.555087111083,bio
37,60.5326,18.162399999999998,2009,3.5030220289575,bio
37,62.8645,18.2412,2009,2.108204849909,bio
37,61.4554,17.1622,2009,0.61093096550215,bio
35,59.565200000000004,18.834800000000005,2009,0.468163272916,bio
1,57.224700000000006,11.828,2009,0.3371324627742857,bio
39,63.6808,20.876800000000003,2009,0.36110113695865,bio
41,65.7555,22.4181,2009,0.40829564469639995,bio
26,57.3167,17.5,2009,0.8566075284546502,bio
41,65.5825,22.8791,2009,0.4327591889892857,bio
38,61.25,19.5,2009,1.954543698235,bio
1,56.325100000000006,12.3811,2009,0.37257795388355003,bio
41,65.0568,21.474999999999998,2009,0.6137549836329,bio
31,58.75,20.5,2009,1.0431631678455,bio
37,60.5326,18.162399999999998,2009,0.6138862373995,bio
14,55.9491,15.780999999999999,2009,0.32352537339157145,bio
14,55.7507,14.283299999999999,2009,1.122828801541,bio
29,58.693600000000004,18.0043,2009,0.7433430803985,bio
11,55.3163,13.610999999999999,2009,0.6454556298927,bio
14,55.9491,15.780999999999999,2010,0.5910287558721429,bio
14,55.9491,15.780999999999999,2010,0.5338849539150001,bio
37,60.5326,18.162399999999998,2010,1.7172908206633335,bio
37,61.4554,17.1622,2010,0.548467631915,bio
35,59.565200000000004,18.834800000000005,2010,0.441951979725,bio
1,57.224700000000006,11.828,2010,0.2543282487490909,bio
39,63.6808,20.876800000000003,2010,0.480518278864,bio
41,65.7555,22.4181,2010,0.45530365305100007,bio
41,65.5825,22.8791,2010,0.7903699775030715,bio
1,56.325100000000006,12.3811,2010,0.466006404173,bio
38,61.25,19.5,2010,2.00513770611,bio
26,57.3167,17.5,2010,1.0523812451474999,bio
37,60.5326,18.162399999999998,2010,0.28972253833671435,bio
14,55.7507,14.283299999999999,2010,0.7968361444575001,bio
41,65.0568,21.474999999999998,2010,0.6302636354525,bio
29,58.693600000000004,18.0043,2010,0.44015706093600004,bio
31,58.75,20.5,2010,0.9796314231630001,bio
11,55.3163,13.610999999999999,2010,0.6430276167176,bio
14,55.9491,15.780999999999999,2011,0.6038755521,bio
37,60.5326,18.162399999999998,2011,0.47103645949999995,bio
37,62.8645,18.2412,2011,1.2132335060000001,bio
37,61.4554,17.1622,2011,0.5357286786666666,bio
35,59.565200000000004,18.834800000000005,2011,0.7100692069,bio
39,63.6808,20.876800000000003,2011,0.29408213669999994,bio
1,57.224700000000006,11.828,2011,0.3246564693571429,bio
41,65.7555,22.4181,2011,0.5248374899999999,bio
38,61.25,19.5,2011,2.3233057169999998,bio
26,57.3167,17.5,2011,1.56414867895,bio
41,65.5825,22.8791,2011,1.4781287082857142,bio
37,60.5326,18.162399999999998,2011,0.4798765218571429,bio
1,56.325100000000006,12.3811,2011,0.4959815922,bio
31,58.75,20.5,2011,1.45937740865,bio
41,65.0568,21.474999999999998,2011,0.7301447540999999,bio
14,55.9491,15.780999999999999,2011,0.4389946299285714,bio
29,58.693600000000004,18.0043,2011,1.0805963686642859,bio
11,55.3163,13.610999999999999,2011,0.8045289769999999,bio
14,55.7507,14.283299999999999,2011,1.0868449661,bio
14,55.9491,15.780999999999999,2012,1.125449865,bio
37,60.5326,18.162399999999998,2012,1.123073964,bio
37,61.4554,17.1622,2012,0.7773063855,bio
37,62.8645,18.2412,2012,0.9587713330000002,bio
1,57.224700000000006,11.828,2012,0.260561105,bio
35,59.565200000000004,18.834800000000005,2012,0.51128702,bio
39,63.6808,20.876800000000003,2012,0.41865703000000004,bio
41,65.7555,22.4181,2012,0.46231668900000006,bio
1,56.325100000000006,12.3811,2012,0.576298586,bio
41,65.5825,22.8791,2012,0.5472577714285715,bio
14,55.7507,14.283299999999999,2012,1.1484517210000003,bio
26,57.3167,17.5,2012,0.7204797225,bio
37,60.5326,18.162399999999998,2012,0.38032472385714283,bio
41,65.0568,21.474999999999998,2012,1.2023159470000002,bio
31,58.75,20.5,2012,1.3956510535,bio
38,61.25,19.5,2012,1.3529194480000002,bio
14,55.9491,15.780999999999999,2012,0.46377465857142863,bio
11,55.3163,13.610999999999999,2012,0.502058961,bio
29,58.693600000000004,18.0043,2012,0.8926682535714285,bio
14,55.9491,15.780999999999999,2013,0.9937630000000002,bio
37,62.8645,18.2412,2013,0.676848649,bio
37,61.4554,17.1622,2013,0.56226549,bio
35,59.565200000000004,18.834800000000005,2013,0.45113842000000004,bio
1,57.224700000000006,11.828,2013,0.31050327214285717,bio
39,63.6808,20.876800000000003,2013,0.505842345,bio
41,65.7555,22.4181,2013,0.7459476950000001,bio
41,65.5825,22.8791,2013,0.5641381057142857,bio
1,56.325100000000006,12.3811,2013,0.7550769004999999,bio
37,60.5326,18.162399999999998,2013,0.3914623584285715,bio
41,65.0568,21.474999999999998,2013,0.7602606000000001,bio
38,61.25,19.5,2013,1.438118785,bio
29,58.693600000000004,18.0043,2013,1.0753716685714285,bio
31,58.75,20.5,2013,1.297843485,bio
14,55.7507,14.283299999999999,2013,0.9666894930000001,bio
