region_id,indicator_status
BHI-043,87.99999999999999
BHI-031,87.99999999999999
BHI-030,87.99999999999999
BHI-029,87.99999999999999
BHI-036,87.99999999999999
BHI-035,87.99999999999999
BHI-003,83.75000000000001
BHI-006,83.75000000000001
BHI-005,83.75000000000001
BHI-008,99.33333333333334
BHI-007,99.33333333333334
BHI-010,99.33333333333334
BHI-009,99.33333333333334
BHI-013,99.33333333333334
BHI-012,99.33333333333334
BHI-011,99.33333333333334
BHI-016,99.33333333333334
BHI-015,99.33333333333334
BHI-017,99.33333333333334
BHI-014,99.33333333333334
BHI-038,100
BHI-037,100
BHI-040,100
BHI-039,100
BHI-042,100
BHI-041,100
BHI-018,89.92592592592594
BHI-019,89.92592592592594
BHI-025,89.92592592592594
BHI-023,89.92592592592594
BHI-024,89.92592592592594
BHI-021,89.92592592592594
BHI-022,89.92592592592594
BHI-020,89.92592592592594
BHI-026,89.92592592592594
BHI-028,89.92592592592594
BHI-027,89.92592592592594
BHI-034,89.03703703703704
BHI-032,89.03703703703704
BHI-033,89.03703703703704
BHI-002,72.00000000000001
BHI-001,72.00000000000001
