region_id,indicator_status
BHI-001,72.91666666666667
BHI-002,73.95833333333334
BHI-003,72.048611111125
BHI-005,65.27777777783334
BHI-006,70.13888888891667
BHI-007,65.27777777783334
BHI-008,65.27777777783334
BHI-009,66.31944444445834
BHI-010,57.63888888891666
BHI-011,57.63888888891666
BHI-012,66.31944444445833
BHI-013,50
BHI-014,99.12916666666668
BHI-015,59.375
BHI-016,50
BHI-017,59.375
BHI-018,68.75
BHI-019,68.75
BHI-020,68.74999999999999
BHI-021,68.75
BHI-022,68.75
BHI-023,92.70833333333333
BHI-024,93.75
BHI-025,59.375
BHI-026,77.08333333333333
BHI-027,76.39166666666668
BHI-028,58.854166666666664
BHI-029,92.70833333333333
BHI-030,68.75
BHI-031,68.75
BHI-032,85.76666666666665
BHI-033,68.74999999999999
BHI-034,68.75
BHI-035,77.43333333333334
BHI-036,86.11666666666667
BHI-037,90.625
BHI-038,83.68333333333334
BHI-039,81.77083333333334
BHI-040,95.66250000000001
BHI-041,100
BHI-042,100
BHI-043,86.11666666666667
