region_id,indicator_status
BHI-001,100
BHI-002,100
BHI-003,83.21666666666667
BHI-005,100
BHI-006,96.63333333333334
BHI-007,66.66666666666667
BHI-008,84.24641346151212
BHI-009,76.28333333333333
BHI-010,96.14440912024884
BHI-011,73.18333333333332
BHI-012,55.45
BHI-013,62.40369331151715
BHI-014,75.96666666666667
BHI-015,75.96666666666665
BHI-016,71.68423885984589
BHI-017,57.430793934386834
BHI-018,85.03719561651745
BHI-019,91.85000000000001
BHI-020,66.95833333333333
BHI-021,34.06666666666666
BHI-022,68.13333333333334
BHI-023,80.69870462731997
BHI-024,85.16806535633222
BHI-025,92.71666666666667
BHI-026,78.97294281045875
BHI-027,60.77438382071732
BHI-028,73.63701131719641
BHI-029,58.72914092747382
BHI-030,41.55
BHI-031,53.05
BHI-032,79.25358632526358
BHI-033,62.516666666666666
BHI-034,77.14386848671012
BHI-035,55.68333333333334
BHI-036,55.68333333333335
BHI-037,95.62340548828342
BHI-038,93.38971267005705
BHI-039,74.35907603278278
BHI-040,82.81739689240905
BHI-041,94.08395605650969
BHI-042,93.20665300065801
BHI-043,75.429256434493
