region_id,indicator_status
BHI-001,100
BHI-002,NA
BHI-003,NA
BHI-005,100
BHI-006,NA
BHI-007,100
BHI-008,95.76103175194214
BHI-009,82
BHI-010,77.88501123954357
BHI-011,100
BHI-012,NA
BHI-013,69.2734141768041
BHI-014,0
BHI-015,0
BHI-016,23.80760013791275
BHI-017,24.802975144764964
BHI-018,38.16244744221133
BHI-019,0
BHI-020,82.15833333333333
BHI-021,75.69166666666666
BHI-022,57.333333333333336
BHI-023,67.76827631332421
BHI-024,76.83451230238182
BHI-025,83.20833333333333
BHI-026,84.1679311246421
BHI-027,100
BHI-028,100
BHI-029,85.49271618876575
BHI-030,56.43333333333334
BHI-031,84.625
BHI-032,62.09651795158149
BHI-033,50.66666666666667
BHI-034,79.02567972827971
BHI-035,100
BHI-036,100
BHI-037,100
BHI-038,100
BHI-039,100
BHI-040,100
BHI-041,100
BHI-042,100
BHI-043,100
