"region_id","score","dimension","matrix","scen_year"
"BHI-029",NA,"trend","sed",2020
"BHI-030",NA,"trend","sed",2020
"BHI-031",NA,"trend","sed",2020
"BHI-032",NA,"trend","bio",2020
"BHI-032",NA,"trend","sed",2020
"BHI-033",NA,"trend","bio",2020
"BHI-033",NA,"trend","sed",2020
"BHI-034",NA,"trend","bio",2020
"BHI-034",NA,"trend","sed",2020
"BHI-035",NA,"trend","sed",2020
"BHI-036",NA,"trend","sed",2020
"BHI-037",NA,"trend","sed",2020
"BHI-038",NA,"trend","sed",2020
"BHI-039",NA,"trend","sed",2020
"BHI-040",NA,"trend","sed",2020
"BHI-041",NA,"trend","sed",2020
"BHI-042",NA,"trend","sed",2020
"BHI-043",NA,"trend","bio",2020
"BHI-043",NA,"trend","sed",2020
