"region_id","score","dimension","indicator","scen_year"
"BHI-026",-0.059,"trend","dip",2020
"BHI-027",-1,"trend","dip",2020
"BHI-028",-1,"trend","dip",2020
"BHI-029",-0.301,"trend","dip",2020
"BHI-030",-0.301,"trend","dip",2020
"BHI-031",-0.301,"trend","dip",2020
"BHI-032",0.24,"trend","dip",2020
"BHI-033",0.24,"trend","dip",2020
"BHI-034",0.24,"trend","dip",2020
"BHI-037",-0.022,"trend","dip",2020
"BHI-038",-0.022,"trend","dip",2020
"BHI-039",-0.542,"trend","dip",2020
"BHI-040",-0.542,"trend","dip",2020
"BHI-041",-0.257,"trend","dip",2020
"BHI-042",-0.257,"trend","dip",2020
"BHI-005",NA,"trend","dip",2020
"BHI-006",NA,"trend","dip",2020
"BHI-035",NA,"trend","dip",2020
"BHI-036",NA,"trend","dip",2020
