region_id,year,prop_wildcaught
BHI-043,2010,0.02326903480536235
BHI-043,2011,0.02655771776834067
BHI-043,2012,0.022275968192977995
BHI-043,2013,0.019891651623627823
BHI-043,2014,0.021532245023220917
BHI-043,2015,0.02389193741384125
BHI-043,2016,0.025557012149372567
BHI-043,2017,0.02294970132406848
BHI-043,2018,0.0249320631641504
BHI-043,2019,0.02122509747021996
BHI-043,2020,0.01790539310336488
BHI-001,2010,0.8828259178996968
BHI-001,2011,0.8470146477837543
BHI-001,2012,0.9025328118393834
BHI-001,2013,0.9323372300225781
BHI-001,2014,0.8939697825390238
BHI-001,2015,0.9503167796000942
BHI-001,2016,0.9731345418007936
BHI-001,2017,0.9529858846496805
BHI-001,2018,0.9471579523613732
BHI-001,2019,0.9175292819873279
BHI-001,2020,0.9071293448374224
BHI-002,2010,0.5001534887410215
BHI-002,2011,0.3803664532690609
BHI-002,2012,0.4747749741132558
BHI-002,2013,0.5032934199855201
BHI-002,2014,0.4371936754181306
BHI-002,2015,0.4447210706337258
BHI-002,2016,0.5618710797303712
BHI-002,2017,0.538316341235065
BHI-002,2018,0.5079720852443056
BHI-002,2019,0.3901415572886067
BHI-002,2020,0.3583562230324041
BHI-003,2010,0.09870176013491665
BHI-003,2011,0.07389447417997226
BHI-003,2012,0.09327798641662602
BHI-003,2013,0.09829976953857356
BHI-003,2014,0.04059804740557764
BHI-003,2015,0.08155901816249043
BHI-003,2016,0.1138043448551158
BHI-003,2017,0.08664059107083487
BHI-003,2018,0.0729722295900519
BHI-003,2019,0.050305363168022615
BHI-003,2020,0.05523889453319722
BHI-005,2010,0.40441681207364666
BHI-005,2011,0.013078054427491163
BHI-005,2012,0.015321214015481933
BHI-005,2013,0.01542516360964929
BHI-005,2014,0.018256046903957355
BHI-005,2015,0.6518816897165387
BHI-005,2016,0.7628381337460788
BHI-005,2017,0.6291531957109648
BHI-005,2018,0.5846865112826047
BHI-005,2019,0.48648278525086874
BHI-005,2020,0.5111686381185471
BHI-006,2010,1
BHI-006,2011,0.9433716583593088
BHI-006,2012,1
BHI-006,2013,1
BHI-006,2014,0.48518746301492127
BHI-006,2015,0.2336296392634025
BHI-006,2016,1
BHI-006,2017,1
BHI-006,2018,1
BHI-006,2019,1
BHI-006,2020,1
BHI-007,2010,0.021032493702066477
BHI-007,2011,0.015098173673432566
BHI-007,2012,0.019615819127728376
BHI-007,2013,0.02042346078968799
BHI-007,2014,0.017284101063552267
BHI-007,2015,0.015870007691631355
BHI-007,2016,0.022132812018205442
BHI-007,2017,0.01704279704694856
BHI-007,2018,0.01418363215681783
BHI-007,2019,0.009588978199636158
BHI-007,2020,0.0105738445911743
BHI-008,2010,0.6684575794397061
BHI-008,2011,0.6153420994146159
BHI-008,2012,0.6668710523194711
BHI-008,2013,0.6833638049903509
BHI-008,2014,0.6576440890383863
BHI-008,2015,0.5874970359725529
BHI-008,2016,0.7070681511134187
BHI-008,2017,0.6722532445250509
BHI-008,2018,0.6299145763094776
BHI-008,2019,0.5338795390083454
BHI-008,2020,0.5583553905197548
BHI-009,2010,0.019130015607735647
BHI-009,2011,0.013762003437020344
BHI-009,2012,0.01785258997284234
BHI-009,2013,0.018502908210082915
BHI-009,2014,0.015673847107155806
BHI-009,2015,0.01440434110718486
BHI-009,2016,0.02002937453140077
BHI-009,2017,0.015418017685770271
BHI-009,2018,0.01281361329030781
BHI-009,2019,0.008649691314623096
BHI-009,2020,0.009514285256502272
BHI-010,2010,0.9981434218646619
BHI-010,2011,0.9453077908673437
BHI-010,2012,0.9425153112245785
BHI-010,2013,0.9713428526224189
BHI-010,2014,0.975280633548452
BHI-010,2015,1
BHI-010,2016,1
BHI-010,2017,1
BHI-010,2018,1
BHI-010,2019,1
BHI-010,2020,1
BHI-011,2010,0.874224706793164
BHI-011,2011,0.8623400666325788
BHI-011,2012,0.9037452894454294
BHI-011,2013,0.9280189117639134
BHI-011,2014,0.8921281842924367
BHI-011,2015,0.9500000732144055
BHI-011,2016,0.969696260056664
BHI-011,2017,0.9441129957527322
BHI-011,2018,0.9330288963021554
BHI-011,2019,0.9030989551218332
BHI-011,2020,0.910218240421875
BHI-012,2010,0.09842716218371386
BHI-012,2011,0.07320895170088397
BHI-012,2012,0.09261863046310359
BHI-012,2013,0.09403406408482606
BHI-012,2014,0.057748489857890516
BHI-012,2015,0.07386951428793737
BHI-012,2016,0.10065227628380925
BHI-012,2017,0.07902678294323422
BHI-012,2018,0.06610555708182507
BHI-012,2019,0.0452225586172668
BHI-012,2020,0.04902912706782368
BHI-013,2010,0.9991322880581647
BHI-013,2011,0.9740084295279552
BHI-013,2012,0.9724041927730122
BHI-013,2013,0.9861672573136955
BHI-013,2014,0.988162388388141
BHI-013,2015,1
BHI-013,2016,1
BHI-013,2017,1
BHI-013,2018,1
BHI-013,2019,1
BHI-013,2020,1
BHI-014,2010,0.9018047052784265
BHI-014,2011,0.7430596405654613
BHI-014,2012,0.9073387996329274
BHI-014,2013,0.7794084290219624
BHI-014,2014,0.7612098488099438
BHI-014,2015,0.9690789282402181
BHI-014,2016,0.9788215525827452
BHI-014,2017,0.9675183235843214
BHI-014,2018,0.9720461656268564
BHI-014,2019,0.9662537963492007
BHI-014,2020,0.960670272945909
BHI-015,2010,1
BHI-015,2011,0.9945876298750354
BHI-015,2012,1
BHI-015,2013,1
BHI-015,2014,0.6933184912086428
BHI-015,2015,0.784622151020577
BHI-015,2016,1
BHI-015,2017,1
BHI-015,2018,1
BHI-015,2019,1
BHI-015,2020,1
BHI-016,2010,0.997639837238657
BHI-016,2011,0.9322342206666696
BHI-016,2012,0.9282415768058796
BHI-016,2013,0.9631965747902492
BHI-016,2014,0.9683986572720277
BHI-016,2015,1
BHI-016,2016,1
BHI-016,2017,1
BHI-016,2018,1
BHI-016,2019,1
BHI-016,2020,1
BHI-017,2010,1
BHI-017,2011,1
BHI-017,2012,1
BHI-017,2013,1
BHI-017,2014,1
BHI-017,2015,1
BHI-017,2016,1
BHI-017,2017,1
BHI-017,2018,1
BHI-017,2019,1
BHI-017,2020,1
BHI-018,2010,1
BHI-018,2011,1
BHI-018,2012,1
BHI-018,2013,1
BHI-018,2014,1
BHI-018,2015,1
BHI-018,2016,1
BHI-018,2017,1
BHI-018,2018,1
BHI-018,2019,1
BHI-018,2020,1
BHI-019,2010,1
BHI-019,2011,1
BHI-019,2012,1
BHI-019,2013,1
BHI-019,2014,1
BHI-019,2015,1
BHI-019,2016,1
BHI-019,2017,1
BHI-019,2018,1
BHI-019,2019,1
BHI-019,2020,1
BHI-020,2010,1
BHI-020,2011,1
BHI-020,2012,1
BHI-020,2013,1
BHI-020,2014,1
BHI-020,2015,1
BHI-020,2016,1
BHI-020,2017,1
BHI-020,2018,1
BHI-020,2019,1
